Wall time,Step,Value
1744796035.3873763,1,0.2312832474708557
1744796109.5907626,2,0.22123263776302338
1744796183.3943505,3,0.21405203640460968
1744796257.1926167,4,0.21230106055736542
1744796331.345388,5,0.20929165184497833
1744796405.428741,6,0.20707984268665314
1744796478.829566,7,0.20344582200050354
1744796552.405696,8,0.20243823528289795
1744796626.4614732,9,0.2010125070810318
1744796700.533101,10,0.1984373927116394
1744796774.5637534,11,0.19596800208091736
1744796847.8233702,12,0.1945371925830841
1744796921.4260514,13,0.19386807084083557
1744796994.612165,14,0.1897410899400711
1744797068.400177,15,0.188979372382164
1744797142.0504112,16,0.19087381660938263
1744797215.4731805,17,0.18995815515518188
1744797289.0128202,18,0.18894420564174652
1744797362.9129612,19,0.1883782595396042
1744797436.6770997,20,0.18726418912410736
1744797510.1817682,21,0.18698765337467194
1744797583.3962479,22,0.18622462451457977
1744797656.6711583,23,0.18668736517429352
1744797729.9937766,24,0.18364326655864716
1744797803.5031173,25,0.18393376469612122
1744797876.673512,26,0.1832536906003952
1744797949.9256494,27,0.18400555849075317
1744798023.2424417,28,0.18348856270313263
1744798096.6667445,29,0.18271729350090027
1744798169.5884557,30,0.17967860400676727
1744798242.9521143,31,0.18181449174880981
1744798316.516176,32,0.17679305374622345
1744798390.0842476,33,0.17896410822868347
1744798463.12576,34,0.17697447538375854
1744798536.6338289,35,0.17729806900024414
1744798609.930052,36,0.17740920186042786
1744798683.588208,37,0.1779702752828598
1744798756.6952696,38,0.17478825151920319
1744798830.1032562,39,0.17502224445343018
1744798903.098758,40,0.1752386838197708
1744798976.1787965,41,0.17283856868743896
1744799049.5370092,42,0.1741788387298584
1744799122.8190794,43,0.17244340479373932
1744799195.8163803,44,0.17201708257198334
1744799268.9347796,45,0.17229412496089935
1744799341.9895587,46,0.1735578179359436
1744799415.1544006,47,0.1754094362258911
1744799488.0151002,48,0.17415201663970947
1744799561.2119215,49,0.17068977653980255
1744799634.1156578,50,0.16958244144916534
1744800693.5214555,1,0.2393178641796112
1744800769.1603565,2,0.23442131280899048
1744800844.461987,3,0.23422390222549438
1744800919.9304965,4,0.23223087191581726
1744800994.9042313,5,0.23004907369613647
1744801069.9962115,6,0.23063082993030548
1744801144.9662237,7,0.23041874170303345
1744801220.344954,8,0.23157039284706116
1744801295.4922554,9,0.22902783751487732
1744801370.6047153,10,0.22984324395656586
1744801445.2704983,11,0.2291404902935028
1744801520.2858672,12,0.23103338479995728
1744801594.9265435,13,0.22938980162143707
1744801669.4721184,14,0.22738584876060486
1744801744.466132,15,0.22775152325630188
1744801819.5880346,16,0.22561711072921753
1744801894.9454122,17,0.2253892868757248
1744801969.0507185,18,0.22569428384304047
1744802043.7995274,19,0.22743265330791473
1744802118.0330002,20,0.2241886854171753
1744802192.550544,21,0.22485901415348053
1744802267.001834,22,0.225341334939003
1744802341.802215,23,0.2223578244447708
1744802416.7061322,24,0.2238132655620575
1744802491.9511328,25,0.22109584510326385
1744802566.3425198,26,0.221836119890213
1744802640.847911,27,0.2218269258737564
1744802715.5603018,28,0.21968314051628113
1744802790.4017844,29,0.2203310877084732
1744802865.435419,30,0.22314336895942688
1744802939.6482303,31,0.22078390419483185
1744803014.2203777,32,0.22181367874145508
1744803088.4269595,33,0.22208906710147858
1744803163.0883253,34,0.22156712412834167
1744803237.875277,35,0.2197282910346985
1744803312.659306,36,0.2188040018081665
1744803386.8964887,37,0.2187153846025467
1744803461.101398,38,0.2179957926273346
