Wall time,Step,Value
1744796042.7775416,1,0.21937772631645203
1744796116.8695483,2,0.21338507533073425
1744796190.5669334,3,0.22712725400924683
1744796264.3776,4,0.21096321940422058
1744796338.5039873,5,0.21509015560150146
1744796412.672726,6,0.20885905623435974
1744796486.1241295,7,0.2079009860754013
1744796559.5312638,8,0.20557726919651031
1744796633.6798458,9,0.21425598859786987
1744796707.7550502,10,0.1999167948961258
1744796781.676926,11,0.19601327180862427
1744796855.070835,12,0.2064725011587143
1744796928.6852508,13,0.19611428678035736
1744797001.8343043,14,0.19591346383094788
1744797075.5665774,15,0.19872573018074036
1744797149.2583358,16,0.19855470955371857
1744797222.8420577,17,0.19186025857925415
1744797296.2972543,18,0.20253880321979523
1744797370.1796403,19,0.19427946209907532
1744797444.008103,20,0.2014341503381729
1744797517.5006886,21,0.1886451244354248
1744797590.5539005,22,0.1815873235464096
1744797663.8642583,23,0.18909063935279846
1744797737.337269,24,0.1932169795036316
1744797810.6473546,25,0.19078713655471802
1744797884.0502274,26,0.2074774205684662
1744797957.0704591,27,0.1848396211862564
1744798030.5898104,28,0.18957126140594482
1744798103.8271613,29,0.18324214220046997
1744798177.1072645,30,0.19210365414619446
1744798250.0780225,31,0.1794227510690689
1744798323.6838298,32,0.19277964532375336
1744798397.4385934,33,0.20500458776950836
1744798470.2279701,34,0.17990438640117645
1744798543.792361,35,0.18412864208221436
1744798617.1615593,36,0.20703066885471344
1744798690.8720195,37,0.1834491640329361
1744798763.788839,38,0.1897289901971817
1744798837.2768059,39,0.2155165672302246
1744798910.3262825,40,0.20105992257595062
1744798983.2655702,41,0.20460756123065948
1744799056.947019,42,0.19223222136497498
1744799129.982275,43,0.20293164253234863
1744799203.133587,44,0.19640293717384338
1744799276.0992386,45,0.19407746195793152
1744799349.5215259,46,0.19792458415031433
1744799422.3253243,47,0.17650552093982697
1744799495.3474073,48,0.18534941971302032
1744799568.3579211,49,0.18974074721336365
1744799641.393352,50,0.19426818192005157
1744800701.4236982,1,0.23383089900016785
1744800777.2909222,2,0.23130583763122559
1744800852.480405,3,0.23196890950202942
1744800927.8590057,4,0.23327286541461945
1744801002.9503758,5,0.23074795305728912
1744801077.9406116,6,0.23027625679969788
1744801153.040069,7,0.23087617754936218
1744801228.3287303,8,0.22931289672851562
1744801303.4567888,9,0.22872962057590485
1744801378.7152472,10,0.2279876172542572
1744801453.1518364,11,0.2277020514011383
1744801528.2900603,12,0.2316964715719223
1744801602.9584448,13,0.23120242357254028
1744801677.522121,14,0.22970600426197052
1744801752.607608,15,0.22538629174232483
1744801827.7463574,16,0.22314921021461487
1744801902.9362028,17,0.22639045119285583
1744801977.2273095,18,0.22185766696929932
1744802051.8058865,19,0.22618158161640167
1744802125.9382365,20,0.22652550041675568
1744802200.5830467,21,0.2320133000612259
1744802275.0122225,22,0.22420503199100494
1744802349.9442494,23,0.21877333521842957
1744802424.9452362,24,0.22462987899780273
1744802500.1194801,25,0.23014625906944275
1744802574.5959187,26,0.21904152631759644
1744802648.833123,27,0.2183605283498764
1744802723.603416,28,0.22012418508529663
1744802798.4162645,29,0.2188190072774887
1744802873.5958076,30,0.2228996604681015
1744802947.712928,31,0.21824650466442108
1744803022.1713955,32,0.21468396484851837
1744803096.9228907,33,0.21496793627738953
1744803171.3040266,34,0.21686068177223206
1744803245.8691566,35,0.2186506986618042
1744803320.676276,36,0.2235749065876007
1744803394.9465685,37,0.21923013031482697
1744803469.4170725,38,0.2175780087709427
1744803544.0237837,39,0.21877233684062958
1744803619.3361573,40,0.2222226858139038
1744803694.3382387,41,0.2153291404247284
1744803769.1390164,42,0.22076453268527985
1744805408.400366,1,0.33788174390792847
1744805482.0701652,2,0.32551518082618713
1744805555.4768758,3,0.3235074281692505
1744805629.9916794,4,0.316150426864624
1744805703.7345922,5,0.31743335723876953
1744805777.6702504,6,0.31460291147232056
1744805851.8000906,7,0.3037264049053192
1744805925.0500598,8,0.3001696765422821
1744805998.988158,9,0.2995334565639496
1744806073.5686388,10,0.2966417670249939
1744806146.638774,11,0.2828998267650604
1744806220.3831248,12,0.28956401348114014
1744806293.637652,13,0.2930123507976532
1744806367.4885106,14,0.2675902843475342
1744806441.5044253,15,0.28829047083854675
1744806515.1620784,16,0.28934600949287415
1744806588.2952561,17,0.26746922731399536
1744806662.0248883,18,0.2654982805252075
1744806735.2405894,19,0.25588229298591614
1744806808.1652398,20,0.270513117313385
1744806881.4882355,21,0.2570379376411438
1744806955.2222404,22,0.2593748867511749
1744807028.8394349,23,0.2568534016609192
1744807101.833213,24,0.26947829127311707
1744807174.4950893,25,0.2518514096736908
1744807248.2495778,26,0.25371643900871277
1744807321.5187683,27,0.3037675619125366
1744807395.2711015,28,0.2505345344543457
1744807469.0363557,29,0.24412615597248077
1744807542.5014195,30,0.2456865757703781
1744807615.5360005,31,0.2530120313167572
1744807688.6993625,32,0.24818405508995056
1744807761.8924644,33,0.2324645221233368
1744807834.8810368,34,0.25582295656204224
1744807908.2507694,35,0.2582598030567169
1744807981.3819902,36,0.23685328662395477
1744808054.3896213,37,0.24792616069316864
1744808128.0677414,38,0.2479833960533142
1744808201.468219,39,0.23417292535305023
1744808275.424088,40,0.23253098130226135
1744808348.5869434,41,0.23171618580818176
1744808422.2046766,42,0.24151256680488586
1744808496.346912,43,0.23038050532341003
1744808570.6163762,44,0.23745368421077728
1744808643.4847577,45,0.23855428397655487
1744808717.1410408,46,0.24268797039985657
1744808800.8694515,47,0.22793005406856537
1744808875.3637967,48,0.22504732012748718
1744808948.3299332,49,0.22212181985378265
1744809021.9054422,50,0.21646524965763092
1744809628.3119285,1,0.3127996027469635
1744809702.546925,2,0.313224732875824
1744809776.4956217,3,0.29601800441741943
1744809850.5824025,4,0.28384944796562195
1744809981.5968945,5,0.28170835971832275
1744810059.1858287,6,0.2839805781841278
1744810132.4402003,7,0.2701714336872101
1744810206.5664387,8,0.28078269958496094
1744810279.7304213,9,0.2687202990055084
1744810353.9745128,10,0.26260557770729065
